"M1","M2","M3","M4","M5","M6","M7","M8","M9","N1","N2","N3","N4","N5","N6","N7","N8","N9","P1","P2","P3","P4","P5","P6","P7","P8","P9","country","source","ID"
4,2,1,4,2,4,5,2,5,3,4,3,1,2,2,4,1,3,5,2,2,4,4,2,2,4,2,"SE",3,"1852"
5,2,1,2,4,4,4,2,4,1,5,1,1,2,4,2,3,2,2,4,4,1,5,2,4,4,1,"CA",1,"17505"
5,1,2,4,4,2,5,1,5,1,4,1,1,4,2,1,2,2,4,4,2,2,5,2,2,1,2,"US",3,"6418"
5,5,4,5,5,5,5,5,5,5,2,4,2,4,2,3,2,4,5,2,2,2,5,5,4,4,5,"SK",1,"14189"
5,4,2,3,2,2,5,3,4,1,5,1,2,1,4,1,3,4,1,5,1,3,4,1,5,1,4,"GB",1,"8524"
5,5,5,5,3,1,5,1,5,5,1,1,5,5,1,5,5,1,1,1,1,5,2,1,5,5,5,"US",1,"73"
4,4,4,5,4,3,4,3,5,3,2,2,3,5,4,3,3,3,3,1,3,2,4,2,5,5,3,"US",3,"18177"
4,1,3,4,1,4,4,2,4,4,2,1,1,3,3,1,4,3,4,2,2,2,4,1,5,1,2,"US",2,"12643"
3,3,3,2,3,3,4,2,4,2,4,2,2,4,2,3,3,3,3,4,2,2,4,3,4,3,2,"US",3,"12105"
4,3,4,4,5,4,5,3,4,3,4,3,2,5,3,4,4,2,2,2,4,1,3,1,1,1,4,"AU",1,"12510"
5,4,4,5,5,5,5,4,4,4,5,4,5,5,3,4,3,2,4,3,4,3,5,3,2,4,1,"PH",3,"10515"
5,5,5,1,5,5,5,5,5,4,5,5,3,5,1,4,1,5,5,1,1,4,4,5,5,5,5,"GB",2,"7754"
4,4,5,4,5,5,5,5,4,3,2,3,3,5,2,4,2,4,4,4,4,2,5,3,5,2,4,"US",1,"3943"
4,1,2,2,1,1,5,1,3,1,5,1,2,1,4,3,3,1,2,5,1,2,3,1,2,1,1,"US",3,"11524"
4,3,2,4,2,3,5,2,4,3,4,2,2,4,4,1,3,1,1,5,1,2,2,1,5,1,1,"US",3,"7351"
5,3,2,4,4,3,5,2,4,2,3,2,2,2,4,2,4,2,5,4,2,3,4,2,3,3,2,"SG",1,"11047"
2,3,3,4,3,4,4,3,4,4,3,2,3,2,0,2,2,4,2,5,1,1,2,2,5,1,1,"US",2,"12630"
3,4,1,1,4,1,4,3,5,4,5,1,1,4,5,4,5,4,4,2,1,1,4,3,4,4,1,"US",3,"15028"
4,2,3,2,1,4,3,3,1,4,3,4,3,3,3,4,2,5,1,4,1,3,3,4,2,3,3,"GR",1,"5790"
5,3,4,3,3,4,5,5,5,5,1,3,4,5,1,3,1,4,3,2,3,2,4,2,2,5,4,"CA",3,"1995"
5,5,5,5,5,5,5,5,5,5,3,5,4,5,1,5,1,5,4,1,3,4,5,4,1,5,5,"US",1,"10920"
5,4,4,4,4,4,4,4,4,1,1,2,1,3,4,2,2,2,2,4,2,2,2,2,5,3,2,"US",3,"17276"
5,4,4,5,5,5,5,4,5,4,5,1,4,4,5,2,4,4,3,4,3,3,5,3,4,5,3,"US",1,"5588"
5,4,4,5,4,5,5,4,5,1,5,1,1,5,4,2,5,4,4,5,1,1,4,2,3,2,4,"PL",1,"10222"
4,4,4,4,3,3,4,3,3,3,3,4,3,4,4,2,4,3,2,4,2,2,4,3,5,1,2,"SG",2,"12240"
4,1,2,4,1,1,4,1,1,5,2,1,1,4,2,4,4,1,3,2,1,1,3,3,2,1,1,"US",1,"11530"
5,5,2,3,5,4,5,3,4,2,5,1,1,2,5,3,3,4,4,1,4,3,3,4,3,5,4,"GB",2,"16297"
4,4,3,4,4,5,5,4,5,3,4,2,2,4,4,2,2,3,2,2,1,2,3,3,5,4,2,"US",1,"7773"
5,5,3,1,4,5,5,4,5,3,5,2,1,3,3,2,1,5,5,4,1,1,5,5,1,5,5,"CZ",1,"4281"
5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,1,5,5,1,5,1,5,5,1,5,5,"SE",1,"403"
5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,1,5,5,1,5,5,5,5,5,5,5,"US",1,"1109"
5,5,4,4,3,5,5,4,4,5,3,3,1,4,3,4,1,3,3,3,1,1,4,5,5,5,2,"FI",3,"2801"
4,2,3,3,3,3,4,3,3,2,4,2,2,5,3,4,5,5,2,3,3,2,3,2,4,3,2,"PH",1,"12313"
5,5,5,5,5,5,5,5,5,4,5,1,1,5,5,3,2,5,5,5,5,4,5,5,5,3,5,"US",1,"17438"
4,3,4,4,4,5,5,5,4,4,4,2,4,4,1,3,1,3,3,2,2,4,4,2,5,1,2,"GB",3,"15378"
4,3,4,4,2,3,4,2,5,5,4,3,3,2,4,5,1,4,3,2,1,2,3,4,1,2,3,"US",3,"9871"
4,2,1,4,2,4,4,3,4,1,4,1,1,1,5,1,4,2,1,4,2,1,4,1,5,2,1,"US",3,"15033"
5,4,5,5,4,4,5,2,5,4,2,3,4,4,1,3,1,4,3,2,2,3,4,4,5,3,4,"US",2,"14377"
5,3,4,4,5,4,5,4,5,3,4,2,1,4,2,2,1,4,4,4,1,4,2,5,3,4,2,"FR",3,"11874"
5,3,5,4,4,5,5,3,5,4,2,3,4,4,1,4,2,4,4,5,2,1,3,2,1,4,1,"US",1,"7575"
5,5,5,5,5,5,5,3,5,1,5,1,1,5,5,5,2,5,5,5,5,1,5,5,2,1,5,"US",1,"8564"
3,4,1,5,4,5,5,4,5,4,3,4,5,2,1,3,1,3,5,3,1,3,2,4,2,4,3,"US",2,"11591"
4,2,3,3,3,3,5,3,4,4,1,3,2,4,5,2,4,3,1,5,1,1,4,2,5,1,2,"GB",3,"10461"
4,4,4,4,4,4,4,4,4,4,2,3,3,4,4,4,2,4,4,4,2,4,4,4,2,3,4,"US",1,"7007"
5,4,4,5,4,5,5,4,5,4,2,2,2,4,5,3,4,3,2,4,3,1,4,4,5,4,4,"US",1,"9782"
4,4,2,3,4,3,4,4,4,3,3,2,2,3,3,2,4,3,3,3,2,2,3,2,4,1,2,"GB",1,"9340"
3,1,3,2,3,1,5,1,3,4,3,3,3,5,1,5,1,3,1,2,2,2,3,1,2,1,1,"NG",3,"11359"
