"M1","M2","M3","M4","M5","M6","M7","M8","M9","N1","N2","N3","N4","N5","N6","N7","N8","N9","P1","P2","P3","P4","P5","P6","P7","P8","P9","country","source","ID"
5,4,2,3,4,4,5,2,4,2,1,1,1,2,2,1,4,4,1,4,2,1,4,2,2,3,4,"US",3,"11796"
5,4,4,5,3,5,5,3,4,4,5,4,4,5,5,4,4,4,4,1,5,3,4,5,1,3,4,"US",3,"10507"
5,5,4,5,5,5,5,5,5,3,4,3,3,5,1,3,1,3,5,1,2,4,5,5,2,5,5,"US",3,"8452"
5,2,2,4,3,4,5,2,4,5,2,2,2,4,2,5,2,2,3,2,2,2,4,2,2,2,2,"US",1,"7677"
4,4,3,4,5,4,4,3,5,4,2,3,4,4,1,4,2,4,1,5,2,2,4,4,5,1,4,"FI",3,"16929"
5,5,5,5,5,5,5,5,5,4,3,2,1,5,3,5,1,5,4,4,5,3,5,5,5,5,5,"US",1,"6728"
4,5,4,5,4,4,4,3,5,4,3,3,4,4,3,3,2,4,3,3,3,2,3,4,4,3,4,"US",3,"14295"
5,4,4,4,3,4,5,3,4,4,1,2,4,5,2,2,2,2,2,3,2,1,4,2,4,1,4,"CA",2,"15533"
4,1,2,5,2,0,1,3,2,1,5,1,1,1,2,1,2,1,1,5,1,4,5,1,5,1,1,"US",3,"2819"
1,4,4,4,5,4,4,4,4,5,4,4,3,5,3,4,3,4,3,2,4,3,2,4,5,3,4,"GB",1,"2843"
3,2,2,3,3,4,4,4,3,2,3,2,3,2,2,1,4,2,4,4,3,1,4,3,4,4,1,"US",3,"17425"
5,5,5,5,5,4,4,3,5,5,3,4,5,5,2,5,1,5,2,5,2,2,4,5,5,2,5,"US",2,"4667"
4,2,3,4,3,2,4,2,3,4,5,2,2,3,4,2,4,3,3,4,3,1,4,2,3,1,2,"CA",1,"327"
4,3,3,5,1,3,5,1,4,4,3,2,4,2,4,2,2,3,2,4,1,1,4,2,2,4,2,"AU",1,"4827"
4,4,5,4,5,5,5,3,5,4,2,4,4,4,2,3,2,4,3,2,5,3,4,4,4,4,4,"US",3,"6996"
4,4,2,2,2,2,4,2,3,3,3,2,2,2,4,2,4,2,2,2,3,3,4,3,2,3,2,"US",1,"12788"
5,5,1,5,2,1,5,3,4,4,2,5,1,4,4,3,4,1,1,2,1,3,3,1,5,1,3,"US",1,"4790"
5,2,2,2,2,2,4,3,3,1,4,2,1,3,2,1,4,3,2,2,2,2,4,1,2,4,1,"US",1,"13201"
5,4,4,1,4,2,5,4,5,4,2,2,2,4,1,4,1,2,2,4,5,1,4,4,5,1,1,"US",3,"17311"
3,1,2,1,1,1,4,1,2,3,4,1,2,4,4,1,5,5,1,5,1,4,4,1,5,1,1,"HR",1,"10792"
2,1,3,1,1,1,1,1,3,4,4,2,1,3,3,1,4,1,1,4,1,1,1,1,5,1,1,"US",1,"10291"
5,5,1,5,5,5,5,5,5,4,3,4,5,5,4,5,1,4,5,1,2,5,5,5,5,2,5,"GB",1,"7169"
5,5,5,4,4,5,5,5,5,4,1,5,5,5,1,5,1,5,5,3,2,2,5,5,1,5,5,"US",2,"556"
4,4,4,3,5,4,4,3,5,4,2,4,4,4,3,2,2,3,3,2,1,4,5,3,2,4,2,"CA",3,"15637"
5,5,5,1,5,4,5,5,5,5,1,5,5,5,1,5,1,5,5,2,5,4,5,5,3,5,5,"US",2,"5354"
5,5,5,5,5,5,5,5,5,3,2,5,3,5,2,4,1,5,5,1,3,4,5,5,5,5,5,"GB",1,"16267"
2,2,2,4,4,2,2,2,4,4,4,4,2,4,4,2,4,2,2,1,1,5,2,2,5,1,1,"CA",3,"7642"
4,4,4,3,4,4,4,4,4,3,2,4,4,4,2,3,2,4,4,3,4,4,4,4,3,3,4,"US",3,"16774"
5,1,3,2,1,1,4,2,2,3,5,1,2,3,4,1,1,3,2,4,2,1,2,2,2,1,1,"US",3,"2532"
5,5,5,5,5,5,5,5,4,1,5,1,1,5,1,1,5,1,5,5,2,1,5,1,1,5,4,"GB",3,"4835"
3,3,3,2,5,4,5,4,5,4,3,3,2,4,1,1,2,4,3,4,3,4,5,5,1,1,1,"US",1,"10660"
4,2,3,3,3,5,4,3,3,2,4,2,2,2,3,2,3,4,4,3,5,2,2,5,4,1,3,"US",1,"10337"
5,5,2,5,5,1,5,3,4,1,4,2,3,4,4,1,3,3,1,5,1,1,3,2,5,1,3,"CN",3,"4537"
4,2,3,4,2,3,4,3,3,2,4,2,1,4,4,1,4,2,1,4,4,3,4,2,2,1,2,"SG",1,"5058"
5,5,5,4,5,4,5,5,5,4,1,3,5,5,3,4,2,5,3,2,3,1,5,5,2,3,5,"US",2,"9654"
5,3,3,2,4,3,4,2,3,5,2,3,2,5,2,3,3,3,3,3,3,3,4,4,1,2,2,"GB",1,"3138"
2,4,4,4,1,2,4,1,4,5,2,2,2,4,2,4,1,3,4,2,2,1,4,2,4,3,1,"PE",1,"9806"
5,5,4,4,5,5,5,4,5,3,1,3,2,4,2,2,1,4,5,5,2,2,4,5,5,5,2,"GB",1,"17264"
5,5,5,2,5,3,5,3,5,5,1,5,5,5,5,5,1,5,4,3,3,4,5,4,2,4,3,"US",1,"1853"
2,5,5,4,5,5,5,5,5,1,1,4,2,4,1,5,1,5,3,2,1,3,5,2,5,1,3,"NZ",1,"10927"
3,4,2,2,5,2,5,3,5,1,4,2,2,2,5,1,2,4,5,1,5,5,5,5,2,2,5,"LK",2,"12522"
4,3,3,4,3,3,5,2,4,5,5,2,3,5,2,1,2,4,2,4,1,1,2,5,5,1,1,"US",3,"15086"
2,2,3,2,2,2,3,2,3,3,4,2,2,3,4,2,2,2,2,4,2,2,2,2,3,2,1,"CA",1,"10020"
5,5,2,5,5,4,5,5,4,3,4,4,1,1,4,4,1,5,4,2,3,3,4,2,2,5,5,"IE",1,"8905"
5,5,4,4,5,3,5,5,5,4,2,4,5,4,2,5,1,4,2,1,2,5,5,2,1,5,5,"US",2,"14177"
5,2,5,1,1,1,5,1,5,5,1,1,5,5,1,5,1,5,1,1,1,1,5,1,4,4,1,"US",3,"3242"
5,3,5,4,1,2,3,4,3,4,2,5,2,5,3,2,4,4,2,3,2,2,3,2,2,1,4,"US",3,"16311"
5,4,5,5,5,5,5,5,4,1,5,1,1,4,5,2,4,4,5,4,1,2,2,2,3,3,4,"GB",1,"2617"
3,5,4,3,5,3,5,5,4,2,4,2,2,4,3,2,2,4,4,2,3,4,4,3,4,3,5,"US",1,"2804"
5,4,4,4,4,4,5,4,4,4,2,3,5,4,3,4,1,3,4,3,4,1,4,4,5,3,3,"US",1,"5837"
5,4,4,4,5,5,5,5,5,4,3,3,2,4,5,5,4,4,5,2,3,4,5,5,5,3,2,"IN",3,"9788"
4,5,4,4,4,5,4,5,5,3,5,1,4,5,5,1,2,5,4,5,3,2,5,2,5,1,4,"CA",2,"1862"
4,2,5,1,3,2,3,2,5,1,0,3,1,4,5,1,3,4,3,2,2,4,3,3,3,1,3,"CA",1,"574"
4,2,4,2,4,4,4,3,4,4,3,3,2,4,4,2,3,4,4,3,1,4,4,2,5,3,2,"US",1,"527"
4,3,4,4,4,4,4,2,5,4,2,3,3,4,3,4,2,4,2,4,3,2,3,4,5,1,4,"US",2,"10878"
5,4,5,5,4,5,4,4,5,4,4,2,4,4,4,2,3,3,3,2,4,2,4,4,4,2,4,"CA",3,"3041"
1,1,1,1,1,1,1,1,5,3,5,1,1,1,3,5,1,1,1,5,1,1,1,3,5,1,1,"FR",2,"11764"
5,5,3,2,5,4,5,5,5,5,1,4,5,5,1,5,1,5,4,2,4,5,4,5,1,3,4,"US",2,"5538"
4,5,2,4,5,5,5,3,5,4,3,5,5,3,5,4,1,3,4,3,3,4,5,3,5,3,1,"US",3,"3195"
4,4,2,4,3,3,4,4,3,3,2,1,3,5,2,4,2,4,1,4,1,1,2,3,5,1,2,"CA",1,"14533"
4,1,1,1,1,1,1,1,1,1,5,1,1,1,4,1,3,1,1,5,1,1,1,1,5,1,1,"US",1,"2002"
4,3,4,4,3,2,5,4,4,3,3,3,2,3,3,2,3,3,1,5,2,1,4,2,4,2,2,"US",1,"13061"
5,5,5,3,5,5,5,5,5,4,5,3,4,3,4,3,4,5,4,2,5,4,5,5,3,3,5,"CA",1,"3810"
4,3,2,4,4,4,4,2,3,2,3,2,2,3,2,2,3,2,3,4,1,1,4,2,4,1,1,"KZ",3,"12829"
4,4,2,1,5,5,4,4,4,2,2,2,3,2,4,2,3,5,3,4,3,4,5,5,2,1,4,"AU",3,"9331"
4,4,3,3,3,4,4,2,4,3,4,3,3,4,4,4,2,4,2,2,2,2,4,3,2,2,3,"US",1,"10203"
5,1,3,1,1,2,5,2,5,2,4,1,3,1,4,3,5,5,4,5,3,1,5,1,2,3,1,"US",2,"3828"
3,4,1,4,3,4,4,2,4,4,4,2,2,2,5,3,2,2,4,4,2,2,4,2,4,2,1,"GB",2,"15411"
5,4,4,5,4,2,5,4,3,3,3,3,4,5,5,4,2,3,2,4,2,2,4,2,4,3,3,"MY",1,"10514"
4,2,3,3,3,2,4,3,3,3,4,2,2,3,4,2,4,4,1,5,2,2,4,3,4,2,3,"US",1,"11471"
5,5,5,5,5,4,5,5,4,4,5,3,5,5,5,2,5,5,3,5,4,3,5,5,4,5,5,"US",1,"10019"
5,4,4,3,5,4,5,5,5,4,2,4,4,4,2,5,1,5,4,2,3,4,4,3,4,5,4,"GB",3,"16764"
5,5,3,5,5,5,5,3,5,1,5,1,1,1,5,3,1,3,5,3,5,5,4,5,0,1,3,"US",1,"7515"
4,4,4,2,4,4,4,4,4,4,3,2,2,4,4,2,4,2,3,4,2,3,4,2,4,4,2,"HK",1,"1990"
4,2,4,2,2,3,2,2,2,2,4,1,3,2,4,2,4,2,1,4,2,2,2,2,5,2,2,"US",2,"8457"
5,5,4,4,5,5,5,5,5,5,2,5,4,4,1,5,1,5,5,2,4,2,5,4,5,1,5,"GB",1,"9251"
5,5,5,5,5,5,5,5,5,5,2,4,4,5,1,3,1,5,1,3,1,2,5,4,2,3,5,"CA",1,"11005"
4,3,4,3,4,4,5,4,4,4,3,2,1,3,2,2,2,4,2,4,2,1,4,3,1,4,3,"US",3,"11922"
5,5,3,4,4,5,5,5,5,5,1,4,2,4,5,3,2,4,5,2,3,1,3,4,5,3,5,"GG",1,"7817"
5,5,4,4,4,5,5,5,5,5,1,4,4,3,1,5,1,4,4,2,4,3,5,4,1,5,5,"GB",1,"7603"
5,2,5,3,2,1,5,4,2,4,3,3,1,5,2,1,4,5,1,4,1,1,4,2,1,1,2,"US",2,"14853"
5,3,1,4,5,4,5,3,4,4,3,1,1,2,2,3,4,2,4,4,1,1,5,1,5,2,1,"US",3,"15470"
5,5,3,5,4,5,5,5,4,4,3,3,3,2,4,1,3,3,5,3,5,4,5,5,4,3,4,"GB",1,"12870"
5,4,4,4,4,4,5,4,4,4,4,3,4,4,2,2,2,4,4,3,3,2,5,4,2,4,4,"US",1,"7813"
5,4,4,4,3,3,4,2,3,3,4,4,2,4,4,2,4,4,4,4,3,3,4,3,2,5,4,"GB",2,"11144"
3,5,5,4,4,4,4,5,5,5,3,4,4,5,2,3,4,5,4,1,3,5,5,4,5,5,5,"US",2,"2549"
5,4,4,5,5,4,5,5,5,3,2,3,3,4,2,2,2,4,2,3,2,2,4,4,5,3,5,"GB",1,"1013"
5,2,2,5,2,3,5,3,3,3,3,1,2,1,5,1,3,2,1,5,1,1,4,2,3,1,1,"US",1,"16318"
4,1,2,2,1,3,5,2,4,1,5,1,1,2,5,1,5,1,1,2,1,2,4,1,5,1,1,"US",1,"8458"
5,5,5,1,5,5,5,3,5,3,1,3,1,5,1,3,1,5,5,1,3,3,5,5,1,4,5,"US",3,"18018"
4,3,2,3,3,3,4,3,4,4,4,2,3,3,4,3,2,3,4,3,2,3,4,3,5,1,2,"GB",1,"17412"
4,4,4,2,4,4,4,4,4,3,4,1,2,4,3,2,3,4,4,2,4,4,3,2,3,1,3,"IN",3,"10343"
4,4,4,4,4,4,4,3,4,2,4,2,2,2,4,4,2,2,4,4,2,1,4,4,3,2,2,"AU",3,"16167"
3,4,4,4,2,4,5,3,5,2,2,4,3,4,1,4,3,5,3,4,3,2,4,3,4,1,4,"RS",1,"4625"
4,4,3,5,3,5,5,3,4,5,1,4,4,3,4,4,2,4,2,4,2,4,5,5,5,4,2,"US",2,"4059"
4,1,1,2,1,1,3,3,4,2,3,3,1,3,5,2,4,3,1,5,2,1,4,1,4,1,1,"US",1,"611"
5,4,2,3,3,3,5,3,4,4,2,3,5,4,1,5,2,3,2,4,3,3,4,2,5,2,3,"US",1,"5301"
1,4,5,3,1,4,3,2,4,3,5,5,1,3,4,1,1,5,4,5,5,1,3,3,5,1,2,"US",1,"14492"
5,4,4,2,5,4,5,5,4,2,3,3,2,5,1,3,4,4,5,3,4,4,5,4,2,4,4,"US",1,"10529"
4,4,3,4,5,5,5,3,5,2,4,2,4,3,2,2,3,4,5,4,4,4,5,4,1,1,3,"US",1,"9509"
5,3,4,3,3,4,5,5,4,3,3,3,4,3,3,3,1,3,5,2,4,3,4,3,4,4,4,"HR",1,"16680"
5,5,5,4,5,5,5,5,5,4,2,4,4,5,2,4,1,5,2,1,2,2,5,4,5,5,5,"US",3,"14183"
5,4,5,2,5,4,5,5,4,5,1,4,5,5,1,4,1,4,5,2,5,2,5,5,2,5,3,"US",3,"7157"
4,4,2,3,4,3,4,3,4,4,3,2,4,3,2,3,2,3,4,3,4,2,4,4,4,4,3,"US",3,"16487"
4,4,5,3,4,5,5,5,4,5,3,4,5,4,1,5,1,5,4,1,2,4,4,5,2,5,4,"US",1,"14180"
5,5,5,4,5,5,5,5,5,4,3,4,1,5,2,3,3,4,4,2,1,3,5,3,4,1,4,"US",2,"13963"
5,4,3,4,3,4,5,4,4,4,3,2,3,3,2,1,4,4,2,4,2,1,4,3,4,1,3,"US",1,"8344"
3,1,1,2,1,1,3,1,1,1,5,1,1,1,3,1,5,1,1,5,1,2,2,1,4,1,1,"ZA",3,"11278"
5,3,4,4,4,4,5,3,5,4,1,3,4,4,2,4,2,5,4,2,2,4,4,4,4,4,2,"US",3,"857"
3,1,2,4,2,1,4,2,2,4,2,2,2,2,4,2,2,2,2,1,1,2,2,1,2,4,2,"GB",1,"3432"
5,4,4,4,2,3,5,3,3,4,5,3,1,4,4,1,1,4,1,5,2,1,3,4,5,1,1,"US",3,"16814"
5,5,5,4,5,5,5,4,5,5,3,5,2,5,2,4,2,5,0,1,5,5,5,5,1,5,5,"US",1,"3243"
4,4,2,4,4,3,4,3,4,2,4,2,3,3,4,2,2,2,2,5,2,2,3,3,5,1,1,"AU",1,"16570"
3,4,3,3,3,4,5,2,3,2,4,1,1,3,3,2,3,2,4,4,3,2,3,2,4,1,1,"PH",1,"10924"
5,5,5,5,5,5,5,5,5,4,2,3,3,5,4,5,3,5,5,3,4,2,5,5,4,1,5,"US",1,"17656"
5,5,4,5,5,5,5,5,5,1,5,4,1,1,5,2,5,4,3,4,4,1,5,2,4,3,4,"ID",3,"7101"
